"dataset","source_column","key","unique_values"
"GSE15222",NA,"""""GENDER_male,AGE_69,PMI_11,TRANSDET_WHOLE_0.501,TRANSDET_CORTEX_0.857,HYBDATE_3.9.2006,BRAINBANK_N""""",""
"GSE15222",NA,"""""GENDER_male,AGE_69,PMI_12,TRANSDET_WHOLE_0.492,TRANSDET_CORTEX_0.847,HYBDATE_2.22.2006,BRAINBANK_Q""""",""
"GSE15222",NA,"""""GENDER_male,AGE_69,PMI_16,TRANSDET_WHOLE_0.491,TRANSDET_CORTEX_0.845,HYBDATE_6.27.2006,BRAINBANK_H""""",""
"GSE15222",NA,"""""GENDER_male,AGE_69,PMI_2.16,TRANSDET_WHOLE_0.445,TRANSDET_CORTEX_0.769,HYBDATE_3.9.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_male,AGE_69,PMI_24,TRANSDET_WHOLE_0.342,TRANSDET_CORTEX_0.59,HYBDATE_9.13.2006,BRAINBANK_F""""",""
"GSE15222",NA,"""""GENDER_male,AGE_69,PMI_9.5,TRANSDET_WHOLE_0.356,TRANSDET_CORTEX_0.612,HYBDATE_6.8.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_male,AGE_70,PMI_18,TRANSDET_WHOLE_0.492,TRANSDET_CORTEX_0.844,HYBDATE_9.7.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_male,AGE_70,PMI_19,TRANSDET_WHOLE_0.404,TRANSDET_CORTEX_0.696,HYBDATE_3.9.2006,BRAINBANK_N""""",""
"GSE15222",NA,"""""GENDER_male,AGE_70,PMI_20.5,TRANSDET_WHOLE_0.476,TRANSDET_CORTEX_0.819,HYBDATE_6.27.2006,BRAINBANK_H""""",""
"GSE15222",NA,"""""GENDER_male,AGE_70,PMI_8.5,TRANSDET_WHOLE_0.442,TRANSDET_CORTEX_0.761,HYBDATE_8.31.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_male,AGE_71,PMI_9.25,TRANSDET_WHOLE_0.419,TRANSDET_CORTEX_0.723,HYBDATE_6.27.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_male,AGE_72,PMI_18,TRANSDET_WHOLE_0.401,TRANSDET_CORTEX_0.692,HYBDATE_9.13.2006,BRAINBANK_I""""",""
"GSE15222",NA,"""""GENDER_male,AGE_72,PMI_26,TRANSDET_WHOLE_0.509,TRANSDET_CORTEX_0.87,HYBDATE_9.7.2006,BRAINBANK_H""""",""
"GSE15222",NA,"""""GENDER_male,AGE_72,PMI_unknown,TRANSDET_WHOLE_0.456,TRANSDET_CORTEX_0.787,HYBDATE_6.27.2006,BRAINBANK_P""""",""
"GSE15222",NA,"""""GENDER_male,AGE_73,PMI_18,TRANSDET_WHOLE_0.384,TRANSDET_CORTEX_0.663,HYBDATE_9.7.2006,BRAINBANK_H""""",""
"GSE15222",NA,"""""GENDER_male,AGE_73,PMI_7,TRANSDET_WHOLE_0.47,TRANSDET_CORTEX_0.81,HYBDATE_6.27.2006,BRAINBANK_H""""",""
"GSE15222",NA,"""""GENDER_male,AGE_73,PMI_9,TRANSDET_WHOLE_0.487,TRANSDET_CORTEX_0.839,HYBDATE_2.22.2006,BRAINBANK_E""""",""
"GSE15222",NA,"""""GENDER_male,AGE_74,PMI_16,TRANSDET_WHOLE_0.524,TRANSDET_CORTEX_0.888,HYBDATE_8.31.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_male,AGE_74,PMI_24,TRANSDET_WHOLE_0.428,TRANSDET_CORTEX_0.739,HYBDATE_9.7.2006,BRAINBANK_H""""",""
"GSE15222",NA,"""""GENDER_male,AGE_74,PMI_unknown,TRANSDET_WHOLE_0.497,TRANSDET_CORTEX_0.855,HYBDATE_6.22.2006,BRAINBANK_B""""",""
"GSE15222",NA,"""""GENDER_male,AGE_75,PMI_1.17,TRANSDET_WHOLE_0.451,TRANSDET_CORTEX_0.772,HYBDATE_9.7.2006,BRAINBANK_C""""",""
"GSE15222",NA,"""""GENDER_male,AGE_75,PMI_18.9,TRANSDET_WHOLE_0.442,TRANSDET_CORTEX_0.763,HYBDATE_6.22.2006,BRAINBANK_C""""",""
"GSE15222",NA,"""""GENDER_male,AGE_75,PMI_6,TRANSDET_WHOLE_0.457,TRANSDET_CORTEX_0.787,HYBDATE_2.22.2006,BRAINBANK_F""""",""
"GSE15222",NA,"""""GENDER_male,AGE_76,PMI_2.5,TRANSDET_WHOLE_0.372,TRANSDET_CORTEX_0.641,HYBDATE_9.13.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_male,AGE_76,PMI_30,TRANSDET_WHOLE_0.386,TRANSDET_CORTEX_0.665,HYBDATE_3.9.2006,BRAINBANK_F""""",""
"GSE15222",NA,"""""GENDER_male,AGE_76,PMI_49,TRANSDET_WHOLE_0.402,TRANSDET_CORTEX_0.693,HYBDATE_9.13.2006,BRAINBANK_F""""",""
"GSE15222",NA,"""""GENDER_male,AGE_76,PMI_8.5,TRANSDET_WHOLE_0.497,TRANSDET_CORTEX_0.856,HYBDATE_8.31.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_male,AGE_76,PMI_9,TRANSDET_WHOLE_0.435,TRANSDET_CORTEX_0.749,HYBDATE_6.27.2006,BRAINBANK_P""""",""
"GSE15222",NA,"""""GENDER_male,AGE_77,PMI_11.25,TRANSDET_WHOLE_0.506,TRANSDET_CORTEX_0.867,HYBDATE_6.27.2006,BRAINBANK_Q""""",""
"GSE15222",NA,"""""GENDER_male,AGE_77,PMI_17,TRANSDET_WHOLE_0.447,TRANSDET_CORTEX_0.769,HYBDATE_6.27.2006,BRAINBANK_H""""",""
"GSE15222",NA,"""""GENDER_male,AGE_77,PMI_2.5,TRANSDET_WHOLE_0.464,TRANSDET_CORTEX_0.8,HYBDATE_9.13.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_male,AGE_77,PMI_3.5,TRANSDET_WHOLE_0.515,TRANSDET_CORTEX_0.877,HYBDATE_6.22.2006,BRAINBANK_M""""",""
"GSE15222",NA,"""""GENDER_male,AGE_77,PMI_6,TRANSDET_WHOLE_0.448,TRANSDET_CORTEX_0.767,HYBDATE_9.7.2006,BRAINBANK_K""""",""
"GSE15222",NA,"""""GENDER_male,AGE_77,PMI_unknown,TRANSDET_WHOLE_0.455,TRANSDET_CORTEX_0.781,HYBDATE_2.22.2006,BRAINBANK_J""""",""
"GSE15222",NA,"""""GENDER_male,AGE_78,PMI_1.66,TRANSDET_WHOLE_0.428,TRANSDET_CORTEX_0.739,HYBDATE_3.9.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_male,AGE_78,PMI_1.66,TRANSDET_WHOLE_0.432,TRANSDET_CORTEX_0.742,HYBDATE_3.9.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_male,AGE_78,PMI_46,TRANSDET_WHOLE_0.415,TRANSDET_CORTEX_0.716,HYBDATE_2.22.2006,BRAINBANK_L""""",""
