"gene","module"
"100287651","grey"
"100287718","grey"
"100287722","turquoise"
"100287728","grey"
"100287765","turquoise"
"100287792","grey"
"100287808","yellow"
"100287814","grey"
"100287846","blue"
"100287852","grey"
"100287877","grey"
"100287879","grey"
"100287896","turquoise"
"100287898","grey"
"100287902","grey"
"100287922","grey"
"100287932","yellow"
"100287934","turquoise"
"100287944","turquoise"
"100287948","grey"
"100288069","grey"
"100288077","grey"
"100288079","grey"
"100288102","grey"
"100288122","grey"
"100288123","grey"
"100288142","grey"
"100288152","grey"
"100288162","grey"
"100288175","brown"
"100288181","grey"
"100288198","grey"
"100288287","grey"
"100288332","grey"
"100288346","turquoise"
"100288380","grey"
"100288413","grey"
"100288428","grey"
"100288432","grey"
"100288485","grey"
"100288486","grey"
"100288524","grey"
"100288570","grey"
"100288615","brown"
"100288637","grey"
"100288687","grey"
"100288695","grey"
"100288730","grey"
"100288748","grey"
"100288778","green"
"100288797","grey"
"100288798","grey"
"100288801","grey"
"100288805","grey"
"100288814","grey"
"100288831","grey"
"100288842","grey"
"100288846","blue"
"100288866","black"
"100288897","grey"
"100288910","grey"
"100288911","brown"
"100288974","grey"
"100289017","grey"
"100289019","grey"
"100289026","grey"
"100289087","grey"
"100289092","brown"
"100289097","blue"
"100289098","turquoise"
"100289124","grey"
"100289137","pink"
"100289178","grey"
"100289187","turquoise"
"100289211","grey"
"100289230","grey"
"100289255","grey"
"100289274","turquoise"
"100289333","grey"
"100289341","greenyellow"
"100289361","turquoise"
"100289373","grey"
"100289388","turquoise"
"100289410","grey"
"100289455","turquoise"
"100289473","grey"
"100289495","grey"
"100289509","yellow"
"100289511","turquoise"
"100289533","turquoise"
"100289561","grey"
"100289574","grey"
"100289580","grey"
"100289635","turquoise"
"100289650","blue"
"100289656","grey"
"100289673","grey"
"100289678","blue"
"100292680","grey"
"100292952","grey"
"100293211","grey"
"100293516","grey"
"100293534","grey"
"100293612","grey"
"100293704","grey"
"100293748","grey"
"100294033","green"
"100294145","blue"
"100294341","grey"
"100294362","turquoise"
"100294720","grey"
"1003","turquoise"
"100302112","grey"
"100302113","grey"
"100302114","grey"
"100302118","grey"
"100302119","grey"
"100302121","grey"
"100302122","grey"
"100302123","grey"
"100302124","grey"
"100302125","grey"
"100302127","grey"
"100302128","grey"
"100302129","grey"
"100302132","brown"
"100302133","grey"
"100302134","grey"
"100302135","grey"
"100302136","grey"
"100302137","grey"
"100302138","grey"
"100302139","grey"
"100302141","grey"
"100302143","turquoise"
"100302144","grey"
"100302145","grey"
"100302146","grey"
"100302147","grey"
"100302149","grey"
"100302150","grey"
"100302152","grey"
"100302153","grey"
"100302155","grey"
"100302156","grey"
"100302157","grey"
"100302158","grey"
"100302159","grey"
"100302161","grey"
"100302163","grey"
"100302164","grey"
"100302166","grey"
"100302167","grey"
"100302168","grey"
"100302170","grey"
"100302171","grey"
"100302174","grey"
"100302175","grey"
"100302178","grey"
"100302179","grey"
"100302181","grey"
"100302182","turquoise"
"100302183","green"
"100302184","grey"
"100302185","grey"
"100302188","grey"
"100302190","grey"
"100302191","grey"
"100302193","grey"
"100302195","grey"
"100302196","grey"
"100302197","turquoise"
"100302201","grey"
"100302202","grey"
"100302203","grey"
"100302208","grey"
"100302209","grey"
"100302210","brown"
"100302211","grey"
"100302212","grey"
"100302213","grey"
"100302214","grey"
"100302217","grey"
"100302218","grey"
"100302220","grey"
"100302221","grey"
"100302223","grey"
"100302224","turquoise"
"100302225","grey"
"100302226","grey"
"100302228","grey"
"100302229","turquoise"
"100302232","grey"
"100302234","grey"
"100302235","grey"
"100302236","brown"
"100302237","grey"
"100302240","turquoise"
"100302242","grey"
"100302243","grey"
"100302246","grey"
"100302250","grey"
"100302254","green"
"100302255","grey"
"100302256","grey"
"100302257","grey"
"100302258","grey"
"100302260","grey"
"100302261","grey"
"100302263","grey"
"100302268","grey"
"100302270","grey"
"100302273","grey"
"100302274","green"
"100302275","grey"
"100302276","grey"
"100302277","grey"
"100302279","grey"
"100302280","grey"
"100302281","grey"
"100302282","grey"
"100302283","grey"
"100302284","grey"
"100302285","grey"
"100302286","grey"
"100302288","grey"
"100302289","grey"
"100302292","grey"
"100302401","grey"
"100302526","grey"
"100302640","grey"
"100302650","grey"
"100302652","purple"
"100302691","grey"
"100302692","grey"
"100302736","brown"
"100302738","grey"
"100302739","red"
"100302740","grey"
"100302741","grey"
"100302742","grey"
"100302743","grey"
"100302746","grey"
"100303453","turquoise"
"100303491","salmon"
"100303728","grey"
"100303749","grey"
"100303755","grey"
"100306951","turquoise"
"100306975","grey"
"100309464","grey"
"100310812","grey"
"100310846","grey"
"100313769","grey"
"100313770","grey"
"100313771","grey"
"100313773","cyan"
"100313777","grey"
"100313778","grey"
"100313779","grey"
"100313780","grey"
"100313781","grey"
"100313824","grey"
"100313829","grey"
"100313830","grey"
"100313835","grey"
"100313837","grey"
"100313838","grey"
"100313840","grey"
"100313841","grey"
"100313842","grey"
"100313843","grey"
"100313886","grey"
"100313887","turquoise"
"100313892","turquoise"
"100313896","grey"
"100313914","grey"
"100313921","grey"
"100316868","grey"
"100316904","green"
"100329109","green"
"100329135","grey"
"100335030","grey"
"100337591","grey"
"10036","grey"
"100379132","grey"
"100379141","grey"
"100379174","grey"
"100379220","grey"
"100379224","turquoise"
"100379249","grey"
"100379250","grey"
"100379251","turquoise"
"100379345","grey"
"100379571","black"
"100379661","grey"
"10038","yellow"
"100381270","turquoise"
"10039","magenta"
"1004","grey"
"10040","blue"
"100419583","turquoise"
"100419743","grey"
"100419868","grey"
"10042","black"
"100420587","yellow"
"100421577","grey"
"100422212","grey"
"100422556","grey"
"100422737","grey"
"100422821","grey"
"100422823","grey"
"100422824","grey"
"100422826","grey"
"100422829","grey"
"100422832","grey"
"100422833","grey"
"100422835","grey"
"100422837","grey"
"100422840","grey"
"100422841","grey"
