"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","38/948","232/9423",0.163793103448276,1.62808271497163,3.23955469109525,0.00166753844556089,0.0113726121987253,0.00775844203092541,"10000/10096/10097/10152/10298/10787/1129/1132/207/208/2250/2255/2768/28984/340156/3693/3845/387/4628/51571/5217/5291/5295/5594/5604/57144/5829/6237/673/80310/81/81553/8395/8936/8976/9475/9564/998",38
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","23/948","120/9423",0.191666666666667,1.90514240506329,3.33735103205522,0.00174559548677592,0.0116715306076586,0.0079623653782761,"10000/207/208/27330/2932/3845/387/4215/5291/5295/5594/5598/5599/5602/5604/5970/627/673/7161/814/817/9261/998",23
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","13/948","53/9423",0.245283018867925,2.43808215906377,3.51121726224771,0.0018317288262561,0.0119148192815782,0.00812833789544306,"1213/23236/26052/2776/481/490/493/5331/5332/5567/5745/6546/8766",13
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","40/948","249/9423",0.160642570281124,1.59676681409181,3.19176446349719,0.00185186340740072,0.0119148192815782,0.00812833789544306,"10000/10006/10096/10097/10787/1780/207/208/26263/27072/29109/3836/3839/387/51143/51209/5217/5288/5291/54205/55207/5585/55860/5594/5599/5602/5604/578/5970/6237/6416/6500/6990/6993/79792/8717/8976/9475/9842/998",40
"Human Diseases","Infectious disease: viral","hsa05162","Measles","25/948","136/9423",0.183823529411765,1.82718261355175,3.24966800147318,0.00207005105850693,0.0128469725648448,0.00876425663476058,"10000/10379/1457/207/208/25898/2932/317/3452/3561/3665/51209/5291/5295/54205/5599/5602/578/595/5970/6776/7161/7297/842/8717",25
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","14/948","60/9423",0.233333333333333,2.31930379746835,3.4286155555365,0.00207209234916851,0.0128469725648448,0.00876425663476058,"10000/207/208/283748/3845/5291/5295/5530/5594/5604/5829/842/9261/998",14
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","20/948","101/9423",0.198019801980198,1.96829176588545,3.27203726752302,0.00227217066275244,0.0138358963571175,0.00943890444489266,"10000/177/207/208/23236/3845/4772/5291/5295/5331/5332/5581/5594/5599/5602/595/5970/6776/7423/998",20
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","29/948","169/9423",0.171597633136095,1.7056587521534,3.09584495434899,0.00282110501517467,0.0168771370206064,0.0115136511237969,"10000/10325/116442/1612/207/208/27072/29982/3708/3845/4218/5291/5295/54541/5515/55255/5563/5567/5594/5599/5602/5604/5861/6237/81631/8887/9140/9474/9842",29
"Human Diseases","Cancer: specific types","hsa05214","Glioma","16/948","76/9423",0.210526315789474,2.09260493004664,3.19845095605401,0.00318850705956177,0.0187462225398373,0.0127887488232877,"10000/1643/1871/207/208/3479/3845/5291/5295/5594/5604/578/595/673/814/817",16
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","18/948","90/9423",0.2,1.9879746835443,3.14965005025809,0.00329248722772264,0.0190294600788715,0.0129819746177824,"10000/10125/116071/1457/207/208/27040/3845/4215/4772/4775/5291/5295/5530/5594/5604/5970/7535",18
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","67/948","481/9423",0.139293139293139,1.38455617253086,2.89548191854626,0.00338905121677247,0.0192611077486568,0.0131400055948546,"10213/116442/1457/1616/177/1856/23236/27429/2776/2891/2892/2903/2904/291/2911/2915/2932/29982/3028/317/3708/3845/4218/4698/4719/488/5071/509/51384/515/5331/5332/54205/55081/55255/5530/55669/55860/5594/5599/5602/5604/5621/5682/5701/5706/57679/578/5861/5970/6262/627/673/7327/7385/7416/7417/7471/7478/776/79139/7976/81631/817/842/8701/8851",67
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","20/948","105/9423",0.19047619047619,1.89330922242315,3.07851291070203,0.00364663012374446,0.0201227190641843,0.0137278003185205,"10000/10379/1960/207/208/3708/3845/387/4772/4775/4791/5291/5295/5530/5594/5599/5602/5970/6237/9261",20
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","16/948","77/9423",0.207792207792208,2.06542824264343,3.13951487016651,0.00365867619348806,0.0201227190641843,0.0137278003185205,"10000/1643/1871/207/208/3065/3845/5291/5295/5594/5604/578/595/5970/673/6776",16
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","19/948","99/9423",0.191919191919192,1.90765247410817,3.03628074789034,0.00416216903960725,0.0225285657540647,0.0153690786592014,"1573/23236/2776/283748/3356/3358/3479/3708/5291/5295/5331/5332/5567/5581/5599/5602/7442/817/8989",19
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","14/948","65/9423",0.215384615384615,2.14089581304771,3.08686054203963,0.00453772185052051,0.0241775492348046,0.0164940218579775,"190/23236/2776/3708/3739/3776/5087/5331/5332/5567/57552/776/84876/8622",14
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","19/948","101/9423",0.188118811881188,1.86987717759118,2.93947614089573,0.00522275087382557,0.0273993545842234,0.0186919504957968,"1856/23236/2771/2776/2932/3815/3845/4254/51384/5331/5332/5567/5594/5604/7306/7471/7478/7976/817",19
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","27/948","163/9423",0.165644171779141,1.64648209986798,2.78452215987089,0.00631850058863342,0.032645586374606,0.0222709510380859,"10000/1643/1871/1960/207/208/317/3452/3665/3845/4772/4775/5291/5295/54205/5594/5599/5602/5604/5970/6416/673/6776/7297/7529/7534/842",27
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","28/948","171/9423",0.16374269005848,1.62758161225849,2.76985043498642,0.00644318497134086,0.0327929264959289,0.0223714670646713,"10096/10097/1740/2017/23370/23513/24146/387/4218/4628/55114/5515/5521/5563/5567/5581/5584/5599/5602/57530/5872/595/7122/7408/776/81/9475/998",28
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","35/948","227/9423",0.154185022026432,1.53257960185134,2.71646329462027,0.00671501837239736,0.0336738421321691,0.022972431273991,"10000/1871/1978/207/208/23236/2768/2771/2776/2932/3452/3588/3708/3845/387/4772/4775/5291/5295/5331/5332/54205/54331/5530/5567/5594/5604/578/5829/595/5970/842/8717/9475/9564",35
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","31/948","196/9423",0.158163265306122,1.57212283647636,2.70702909567973,0.00718880565630371,0.0355272859246314,0.0242368581242276,"10000/10379/131450/1871/207/208/2932/3452/3665/3708/3845/4772/4775/5291/5295/54205/54331/5530/5594/5599/5602/5604/578/595/5970/6416/7297/81631/842/8717/9261",31
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","32/948","205/9423",0.15609756097561,1.55158999691263,2.6704277075015,0.00775297952288939,0.037768085961504,0.0257655409708053,"10379/1108/1960/23513/2959/2965/3017/3065/3665/3845/387/4055/4791/51564/5291/5295/5567/5594/578/5829/595/5970/6776/7337/7529/7532/7534/81/8717/9261/9519/998",32
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","19/948","105/9423",0.180952380952381,1.79864376130199,2.75227778747278,0.00801072571044992,0.0384740488346961,0.0262471516976936,"10370/10651/139341/1457/345778/3845/4976/5071/55288/55669/5599/5602/5970/6237/7942/81631/8887/9804/9868",19
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","14/948","70/9423",0.2,1.9879746835443,2.77475877900393,0.00897138750216405,0.0424894880310825,0.0289865005552376,"10000/10298/207/208/3845/4233/5291/5295/5594/5604/57144/673/8453/998",14
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","9/948","37/9423",0.243243243243243,2.41780704755388,2.88990511085708,0.00947631461825755,0.0442660723948743,0.0301984935924285,"10342/1643/3845/5594/5604/578/595/673/8030",9
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","21/948","122/9423",0.172131147540984,1.71096181780452,2.64342647857546,0.00975964218276853,0.0449734862746496,0.0306810942018755,"10000/116931/207/208/23236/29079/2932/3065/3845/481/488/5291/5295/5331/5332/5567/5594/5604/595/7068/842",21
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","15/948","78/9423",0.192307692307692,1.9115141187926,2.70350336000433,0.0100532186939877,0.045708634328664,0.0311826151771407,"10096/10097/1213/2017/26052/3611/387/4233/5291/5295/5829/8936/8976/9564/998",15
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","28/948","178/9423",0.157303370786517,1.56357559379889,2.53871872264676,0.0110498373559049,0.0495788755047839,0.0338229093581023,"144165/1457/166336/1856/22881/23236/2932/340419/387/4772/4775/51384/51701/5331/5332/5530/5567/5599/5602/595/6500/7471/7478/79718/7976/80319/817/9475",28
